genename	transcript	log2FoldChange	padj
LOC101927018	NR_110803	0.0241137228	NA
MLEC	NM_014730	-0.1673068532	0.1479374553
UGT1A6	NM_001072,NM_205862	-2.3862049055	3.6626374536835E-010
RYR3	NM_001036,NM_001243996	-0.1150985421	NA
PDZD7	NM_001195263,NM_024895	-0.1337172266	0.8405637642
ASB13	NM_024701,NR_024581,NR_037164	0.1937424196	0.3593570578
MXRA7	NM_001008528,NM_001008529,NM_198530	0.0490139262	0.8918558849
VPS33A	NM_022916	-0.0100049704	0.9706572441
DTD1	NM_080820	0.1952804556	0.3642833324
SNORA27	NR_002575	-0.9150014022	0.0136210495
SNX8	NM_013321	0.4139542806	0.0239967018
CUTC	NM_015960	-0.2634223086	0.4494595825
PURA	NM_005859	0.1492987943	0.474015046
C16orf72	NM_014117	-0.1415956258	0.3555620087
COX18	NM_001297732,NM_001297733,NM_001300729,NM_173827	-0.0506714989	0.8763937926
TMEM263	NM_152261	-0.2175267762	0.3572691042
THNSL1	NM_024838	0.1758512794	0.4407118629
LAMP3	NM_014398	0.9640162606	NA
NR2C1	NM_001032287,NM_001127362,NM_003297	-0.8264724567	6.47085914484694E-006
ZC3H3	NM_015117	0.4704914196	0.0823755337
ICAM5	NM_003259	-0.496742052	0.3774698891
GINS1	NM_021067	1.4064326622	2.0986594868314E-015
ABL1	NM_005157,NM_007313	0.4541277632	0.0012080644
SLC17A9	NM_001302643,NM_022082	-0.3280812006	0.581911684
C9orf114	NM_016390	0.0467688159	0.8292630713
CASZ1	NM_001079843,NM_017766	0.0899845054	0.6573149474
GLIPR2	NM_001287010,NM_001287011,NM_001287012,NM_001287013,NM_001287014,NM_022343,NR_104637,NR_104638,NR_104639,NR_104640,NR_104641	1.1136348571	0.041802294
ADI1	NM_018269	0.5345207291	6.8973294455119E-005
UBE2V1	NM_001032288,NM_001257393,NM_001257394,NM_001257395,NM_001257396,NM_001257397,NM_001257398,NM_001257399,NM_001282575,NM_001282576,NM_001282577,NM_001282578,NM_001282579,NM_001282580,NM_021988,NM_022442,NM_199144,NR_047554,NR_104218	1.2018122067	1.3623723836368E-009
BSDC1	NM_001143888,NM_001143889,NM_001143890,NM_001300958,NM_018045,NR_125352	-0.3195812921	0.02231846
FARS2	NM_006567	-0.1037598807	0.7636896679
TRMT5	NM_020810	-0.6643687351	1.03045109633412E-005
ZNF256	NM_005773	1.9686863875	7.70427583538226E-007
CACNA1D	NM_000720,NM_001128839,NM_001128840	-1.239109122	7.41706133785528E-005
CCDC124	NM_001136203,NM_138442	0.4050874237	0.0577457691
EPHB2	NM_004442,NM_017449	-0.5988943948	0.1561634826
ST3GAL2	NM_006927	0.3471304072	0.288620547
LMNTD2	NM_173573	-1.6392347454	0.0002122049
CLEC18B	NM_001011880	-0.5317554392	NA
LOC284581	NR_046097	-0.6968258063	0.0046298976
FAM46C	NM_017709	0.2321649518	0.5637611913
TEP1	NM_007110	-0.6050798069	1.880533186018E-005
LZTS3	NM_001282533	0.265452938	0.6830380641
LOC100130992	NR_038921	-0.5990026562	0.0696378865
NFATC2	NM_001136021,NM_001258292,NM_001258294,NM_001258295,NM_001258296,NM_001258297,NM_012340,NM_173091	0.8237270615	1.60017763000209E-005
RPL17-C18orf32	NM_001199355,NM_001199356	0.0300168111	0.9510428358
ASF1A	NM_014034	-0.2435977663	0.1721797018
PTBP3	NM_001163788,NM_001163790,NM_001244896,NM_001244897,NM_001244898,NM_005156	0.3817461692	0.000870054
FAM166A	NM_001001710	0.0694715087	0.9234946083
SLC30A8	NM_001172811,NM_001172813,NM_001172814,NM_001172815,NM_173851	0.2240911062	NA
EPB41L2	NM_001135554,NM_001135555,NM_001199388,NM_001252660,NM_001431	0.5462297124	0.0007832522
PSMB4	NM_002796	0.5891666174	0.0004001652
SENP3	NM_015670	-0.3263088373	0.1455312979
HSPG2	NM_001291860,NM_005529	0.3419026818	0.3220734804
HELQ	NM_001297755,NM_001297756,NM_001297757,NM_001297758,NM_001297759,NM_133636,NR_123737	-0.6241482126	0.0034839796
HSF2BP	NM_007031	0.1870722975	0.7227827462
KCNMA1	NM_001014797,NM_001161352,NM_001161353,NM_001271518,NM_001271519,NM_001271520,NM_001271521,NM_001271522,NM_002247	-0.9969686689	0.0001505008
TMEM251	NM_001098621,NM_015676	-0.6203462412	0.0011401761
NXF1	NM_001081491,NM_006362	0.0912683661	0.6803655465
LPPR5	NM_001010861,NM_001037317	-0.8047455311	0.0268880156
ZNF546	NM_001297763,NM_178544	-0.2783766718	0.4936303593
UBL7	NM_001286739,NM_001286740,NM_001286741,NM_001286742,NM_032907,NM_201265	0.3530809118	0.0831798754
CGRRF1	NM_006568	-1.0332169123	4.72909588289112E-006
AUNIP	NM_001287490,NM_024037	0.0523709052	0.8854805271
ATP6V0E2	NM_001100592,NM_001289990,NM_145230,NR_110612	0.1645343599	0.4563779522
SCHIP1	NM_001197107,NM_001197108,NM_001197109,NM_014575	-0.8706125219	NA
GFM2	NM_001281302,NM_032380,NM_170681,NM_170691,NR_104006	-0.0609886347	0.7584830274
PLCG2	NM_002661	-0.5557008068	0.0321648332
OLFM2	NM_058164	0.1146934188	0.8394752446
ZNF264	NM_003417	0.8722147782	0.0076613546
TP53TG1	NR_015381	0.3033455241	0.2025896243
TCEB3-AS1	NR_038280	0.3717944751	NA
RSU1	NM_012425,NM_152724	0.3229311757	0.0649243126
LOC100507424	NR_038933	-0.4864295145	NA
PORCN	NM_001282167,NM_022825,NM_203473,NM_203474,NM_203475	-0.1841412205	0.7306672617
SLC39A6	NM_001099406,NM_012319	-0.3819043404	0.0807089626
DAGLA	NM_006133	-0.1702475808	0.6247664622
GID8	NM_017896	0.1217939242	0.3336770618
ZNF736	NM_001170905,NM_001294255	1.3869120497	7.40511360898381E-017
ARHGAP35	NM_004491	0.1048253926	0.3803707788
LUZP2	NM_001009909,NM_001252008,NM_001252010	-0.6920062478	0.2001703768
RPSAP58	NR_003662	1.0770535031	2.8071546007272E-010
SRMS	NM_080823	-0.0140204114	0.9843874715
OCIAD2	NM_001014446,NM_001286773,NM_001286774,NM_152398,NR_104589	-0.0175451472	0.947235485
SPA17	NM_017425	0.5077668684	0.3156261
HUNK	NM_014586	0.1495438441	0.7685604696
SLC10A5	NM_001010893	-0.0663766903	NA
ZNF592	NM_014630	0.5059323786	0.0103329551
DACH2	NM_001139514,NM_001139515,NM_053281	-0.6648652595	NA
C17orf97	NM_001013672	-0.1225245406	0.8200055089
ELMOD3	NM_001135021,NM_001135022,NM_001135023,NM_032213	-0.2729081119	0.3993517013
FAM213A	NM_001243778,NM_001243779,NM_001243780,NM_001243781,NM_001243782,NM_032333	-0.3067454581	0.0767123539
JHDM1D-AS1	NR_024451	0.138731922	0.7328603872
SORD	NM_003104,NR_034039	1.4965896522	2.95980607765392E-014
TRIP12	NM_001284214,NM_001284215,NM_001284216,NM_004238	0.3538524437	0.0067622794
ESRP2	NM_024939	0.1686200647	0.2706229469
CYP1B1	NM_000104	-0.7296969154	0.006418613
FCGR1B	NM_001004340,NM_001017986,NM_001244910,NR_045213	-0.1023373518	NA
FUNDC1	NM_173794	0.1844146378	0.5562320857
RPL10A	NM_007104	0.3110305918	0.009143428
DSP	NM_001008844,NM_004415	-0.0665872373	0.6479878853
CCDC3	NM_001282658,NM_031455	-0.0450997048	NA
PEAK1	NM_024776	0.0894372482	0.6199960441
STARD9	NM_020759	0.0368450603	0.9575337225
TTC23	NM_001288615,NM_001288616,NR_109947	-0.0042476201	0.9889929993
CPD	NM_001199775,NM_001304	-0.4956591192	0.0008226944
HRASLS2	NM_017878	-0.3617370074	NA
TRIM22	NM_001199573,NM_006074	-0.7832867297	NA
PRKCI	NM_002740	0.1371179229	0.3957187029
BCL3	NM_005178	0.1349477538	0.7333313891
METTL2A	NM_181725	-0.4828544719	9.22242321014695E-005
AK3	NM_001199852,NM_001199853,NM_001199855,NM_001199856,NM_016282	0.3182663798	0.0560822948
NDUFC1	NM_001184986,NM_001184987,NM_001184988,NM_001184989,NM_001184990,NM_001184991,NM_002494	0.4263550967	0.0248214817
CCDC12	NM_144716,NR_102269	0.3665626071	0.1206849767
LOC101927045	NR_110032	0.0577450806	0.9123078479
MASTL	NM_001172303,NM_001172304,NM_032844	0.9567942278	1.05485395022813E-008
LPHN3	NM_015236	-1.0804320712	0.0347391211
RPLP2	NM_001004	0.1039623785	0.5876322696
BRI3BP	NM_080626	0.7782160357	0.0013223828
NUTM2A-AS1	NR_024397	-0.1545650927	0.7355298028
LOC100133331	NR_028327,NR_028327_chr1:661138_665731,NR_028327_chr5:180750506_180755196	-0.4525335902	0.3269840565
ASRGL1	NM_001083926,NM_025080	0.7006340563	0.1240831371
RAMP3	NM_005856	0.8729591215	0.0389517887
CCDC71	NM_022903	0.6943197481	0.0030487412
ARPC5	NM_001270439,NM_005717	0.1927333378	0.2008566781
ZNF440	NM_152357	0.3365287542	0.183572201
ADAL	NM_001012969,NM_001159280	0.1393035811	0.6892008574
BCL2L2	NM_001199839,NM_004050	-0.7542109412	1.80851379542632E-005
HMGA1P7	NR_037938	1.4263783863	NA
C12orf5	NM_020375	-1.0347304106	2.66782207221868E-012
IFT74	NM_001099222,NM_001099223,NM_001099224,NM_025103	-0.5336232948	0.0434569693
TJAP1	NM_001146016,NM_001146017,NM_001146018,NM_001146019,NM_001146020,NM_080604,NR_027394	-0.5502304525	0.021949674
PSEN2	NM_000447,NM_012486	-0.8523898093	3.89319714423992E-006
PCAT1	NR_045262	-0.3371918721	NA
SCARNA6	NR_003006	-0.9151397944	0.000408255
ATG9B	NM_173681,NR_073169	-0.4801658779	NA
ATMIN	NM_001300728,NM_015251	-0.6966990141	5.48236074407031E-011
RQCD1	NM_001271634,NM_001271635,NM_005444,NR_073390	0.2375675821	0.1528864878
PTGER4P2-CDK2AP2P2	NR_024496	-0.478520985	0.3915143043
INO80B-WBP1	NR_037849	0.2791416077	0.6754628287
BCO1	NM_017429	0.2197376145	0.7303045491
SCARA3	NM_016240,NM_182826	0.2965266552	0.2444212715
C5orf15	NM_020199	-0.0848205531	0.6952406986
TMBIM1	NM_022152	0.3213112015	0.5267679597
SEPN1	NM_020451,NM_206926	0.593981909	0.0034378651
HIST1H2AH	NM_080596	2.697511647	3.22305125285413E-040
DNAJC12	NM_021800,NM_201262	0.2861054911	0.3779858335
SLC38A1	NM_001077484,NM_001278387,NM_001278388,NM_001278389,NM_001278390,NM_030674	-0.2642067739	0.2063287788
LSM14B	NM_144703	0.1307542241	0.3459651086
LOC100506551	NR_103809	-0.2716408708	0.6609439385
ZNF789	NM_001013258,NM_213603	0.0811984989	0.8736455772
MAP3K4	NM_001291958,NM_001301072,NM_005922,NM_006724,NR_120425	0.1524910443	0.4485832081
TPPP3	NM_015964,NM_016140	0.2833443588	NA
CHMP2B	NM_001244644,NM_014043	0.0668308611	0.770579179
ZBTB11	NM_014415	-0.483314366	0.0001901808
ERGIC2	NM_016570	-0.4161909423	0.0251397984
EFNA1	NM_004428,NM_182685	-0.6976645023	0.0016018148
CBWD1	NM_001145355,NM_001145356,NM_018491	-0.4988050345	0.0071337124
USP32P1	NR_003190	-0.5150766669	0.1621718555
KCMF1	NM_020122	0.2094339607	0.1907684599
PKP4	NM_001005476,NM_003628	0.2410539598	0.1982939966
HERC6	NM_001165136,NM_017912	0.6520521556	0.0489705387
RGS10	NM_001005339,NM_002925	0.4499160932	0.0729131608
BZW2	NM_001159767,NM_014038,NR_027624	0.207248971	0.1240831371
LRRC10B	NM_001145077	0.6901740763	0.0942356866
FGFRL1	NM_001004356,NM_001004358,NM_021923	-0.1138854977	0.6774961361
SEMA5A	NM_003966	-0.5078811048	0.1375178222
BPHL	NM_001302777,NM_004332,NR_026648,NR_026649	-0.0756755331	0.8238827752
SPESP1	NM_145658	-0.666607209	0.0578170556
SMAD6	NM_005585,NR_027654	0.7578010951	0.0254868459
TAF10	NM_006284	0.7220520549	0.0016749796
CMAS	NM_018686	0.5439554028	0.0025422127
EGLN3	NM_022073	-0.4139610697	0.0975734149
HIST1H2BH	NM_003524	2.4492553637	3.94527310731816E-050
LINC00685	NR_027231,NR_027231_chrY:231384_232054	-0.4168624644	NA
THAP11	NM_020457	0.0051588257	0.9817466738
SPPL2B	NM_001077238,NM_152988	-0.6973199425	0.0076870436
NFASC	NM_001005388,NM_001005389,NM_001160331,NM_001160332,NM_001160333,NM_015090	0.4750943751	NA
RPS18	NM_022551	0.0434977454	0.8118020952
NSMCE1	NM_145080	0.647581982	0.0034476302
C17orf58	NM_181655,NM_181656	0.4393289992	0.0309330899
DAB2	NM_001244871,NM_001343	1.1581430297	0.0056471583
SAMD8	NM_001174156,NM_144660	-0.6213837178	0.0022372689
ZBTB11-AS1	NR_024407	-0.2154682074	0.5956071377
MTRNR2L9	NM_001190706	0.043789202	0.9003275153
DERL2	NM_016041	-0.6953820134	0.0001486032
FARSB	NM_005687,NR_130154	0.5899048491	0.0234060584
SMYD2	NM_020197	-0.2111723665	0.2921686759
UBE2D3	NM_001300795,NM_003340,NM_181886,NM_181887,NM_181888,NM_181889,NM_181890,NM_181891,NM_181892,NM_181893	-0.1721919024	0.205233839
PMS2P1	NR_003613	-0.1855595451	0.4937632763
ZCCHC10	NM_001300816,NM_001300817,NM_001300818,NM_001300819,NM_001300822,NM_001300825,NM_017665,NR_125337	-0.476326247	0.0444554594
PFN1P2	NR_003242	-0.4078339233	0.2300061144
C15orf26	NM_173528	0.7351097139	NA
CD97	NM_001025160,NM_001784,NM_078481	-0.1206924401	0.6790110756
CLU	NM_001831,NR_038335,NR_045494	-0.0820137618	0.7576869264
STXBP4	NM_178509	0.1099568775	0.6814193209
RBM19	NM_001146698,NM_001146699,NM_016196	0.0687853139	0.7908169913
MLKL	NM_001142497,NM_152649	1.2917885762	0.0009917202
PDE5A	NM_001083,NM_033430,NM_033437	-0.68730651	0.0017686528
TRIM7	NM_033342,NM_203293,NM_203294,NM_203295,NM_203296,NM_203297	0.8910096705	0.0150491474
GATA2	NM_001145661,NM_001145662,NM_032638	-0.8464798588	9.24556619226099E-006
DSC2	NM_004949,NM_024422	-1.2983791715	2.61031716244123E-008
C12orf29	NM_001009894	-0.6453934586	0.021221704
BPIFB1	NM_033197	-1.1560731956	0.018859345
GTSE1-AS1	NR_024009	0.328212338	0.6215708256
TMEM87A	NM_001110503,NM_001286487,NM_015497	-0.8609736792	0.000003791
TGS1	NM_024831	0.0372875319	0.8694614612
ZNF783	NM_001195220	-0.1960057527	0.3463636742
OSBPL5	NM_001144063,NM_020896,NM_145638	0.2734869138	0.3547565536
KIF3A	NM_001300791,NM_001300792,NM_007054	-0.3519424767	0.1103463149
PLCB1	NM_015192,NM_182734	-0.3586658825	0.0956239993
FADS2	NM_001281501,NM_001281502,NM_004265	-0.2151766311	0.3607469196
COL12A1	NM_004370,NM_080645	0.0117535539	0.9498705763
N6AMT2	NM_174928	0.0972576031	0.8230432045
FBXL14	NM_152441	-0.1534372347	0.6895474844
WDR19	NM_025132	-0.0841782144	0.8256976838
KAT6B	NM_001256468,NM_001256469,NM_012330	0.1704548477	0.3321177671
RNMTL1	NM_018146	-0.1023061208	0.7424401064
CHURC1-FNTB	NM_001202558,NM_001202559	0.9109334424	0.0015881133
SMKR1	NM_001195243	0.3519174382	0.5308563359
TAGLN2	NM_001277223,NM_001277224,NM_003564	1.093140232	3.69764199657394E-015
UTP6	NM_018428	-0.4592700027	0.0243274467
PCDHB17	NR_001280	-0.4954227854	NA
CHST11	NM_001173982,NM_018413	-0.651635681	0.0521440367
RPS6KA1	NM_001006665,NM_002953	0.0887135982	0.6742870953
SNORA76A	NR_002980	-0.6502927951	0.2278705362
GTF3C4	NM_012204	0.6044896812	0.0003061175
LY6G5B	NM_021221	-1.4958350576	0.0027127587
PLBD1	NM_024829	-0.0987211994	0.8243208015
MAFK	NM_002360	-0.1583862127	0.5341807789
CMC1	NM_182523	0.4870150854	0.0558323974
GNS	NM_002076	-0.6052186875	9.5658222794189E-007
ALDH3A2	NM_000382,NM_001031806	0.0512373912	0.8045102047
CSTF2	NM_001325	0.5143532115	0.0181051593
CCM2	NM_001029835,NM_001167934,NM_001167935,NM_031443,NR_030770	0.1975822882	0.4303940748
CREG2	NM_153836	0.2137257624	0.7209650633
SLC2A11	NM_001024938,NM_001024939,NM_001282864,NM_030807,NR_104247,NR_104248	-0.4381981113	0.1389889368
SRGAP2-AS1	NR_104189	0.5567230195	0.3396695059
JUN	NM_002228	-0.0861606281	0.6476874904
HOXC11	NM_014212	0.4048453556	0.3601063547
PBOV1	NM_021635	-0.1145385663	0.8707990199
CPXM2	NM_198148	-2.5670929124	9.1530627642515E-012
THOC1	NM_005131	-0.8513362278	1.38691444925105E-005
SCFD1	NM_001257376,NM_001283031,NM_001283032,NM_001283033,NM_016106,NM_182835	-0.2191280352	0.19928801
SFXN4	NM_213649,NR_110305	-0.0818672216	0.7392328924
IFRD1	NM_001007245,NM_001197079,NM_001197080,NM_001550,NR_120333	-0.4688136325	0.0036774014
CNDP2	NM_001168499,NM_018235	0.5498400061	0.0002507048
AKT3	NM_001206729,NM_005465,NM_181690	-0.3868304661	NA
PDZK1	NM_001201325,NM_001201326,NM_002614	-0.3176308545	0.2075504929
BANK1	NM_001083907,NM_001127507,NM_017935	-0.6042218822	NA
DRAP1	NM_006442	0.0911317289	0.7191533086
KLHDC10	NM_014997	0.1323402537	0.3955431144
BCAS3	NM_001099432,NM_017679	-0.2153090001	0.0373277594
NTNG1	NM_001113226,NM_001113228,NM_014917	1.0585702358	NA
H2AFJ	NM_177925,NR_027716	1.0884896038	5.10157512199611E-011
ESRG	NR_027122	-0.012463108	NA
MIEF2	NM_001144900,NM_139162,NM_148886	-0.3251585383	0.1760007302
GTF2IRD2	NM_001281447,NM_173537	-0.1426432307	0.706777714
HIST1H2AD	NM_021065	1.8454524156	4.10702366771224E-012
HCAR1	NM_032554	0.0671938468	0.8388944307
TRIM68	NM_018073	-0.3439255869	0.4914788442
PSD3	NM_015310,NM_206909	-0.3445580587	0.0372670694
STAG2	NM_001042749,NM_001042750,NM_001042751,NM_001282418,NM_006603	-0.1797818198	0.4437212301
AGO3	NM_024852,NM_177422	0.1782119372	0.502901457
SPDL1	NM_017785	0.9223081312	1.95955208090197E-005
LIPE	NM_005357	0.3192179601	NA
ZNF25	NM_145011	-0.7003538525	0.010820743
PACS2	NM_001100913,NM_001243127,NM_015197	0.0391219347	0.8149849286
RPL23AP7	NR_000029,NR_024528,NR_024529,NR_024530,NR_024531	-0.3144246507	0.4551851575
SMIM4	NM_001124767	0.5770989554	0.1205771875
FAM222B	NM_001077498,NM_001288631,NM_001288632,NM_001288633,NM_001288634,NM_001288635,NM_001288636,NM_001288637,NM_001288638,NM_001288639,NM_001288640,NM_018182	0.7365702337	0.0176047236
PLCXD3	NM_001005473	-0.7696994108	0.1346077027
DNAJA1	NM_001539	-0.017124695	0.9171574703
COX7A2	NM_001865,NR_029466	0.18399016	0.190955524
TPM2	NM_001301226,NM_001301227,NM_003289,NM_213674	-2.595298207	1.74447425438884E-011
ZNF445	NM_181489	0.5252175967	0.0076720382
TAF7	NM_005642	-0.1302440678	0.3443616439
SLC10A1	NM_003049	-0.6871205342	0.2240311993
PARD3	NM_001184785,NM_001184786,NM_001184787,NM_001184788,NM_001184789,NM_001184790,NM_001184791,NM_001184792,NM_001184793,NM_001184794,NM_019619	0.1650573967	0.4329311561
CPSF6	NM_001300947,NM_007007	-0.0971200445	0.519602564
ARSK	NM_198150	-0.6996696143	0.060114647
NEK1	NM_001199397,NM_001199398,NM_001199399,NM_001199400,NM_012224	0.2707097058	0.3405444345
SYNGAP1	NM_006772	-1.3302970846	0.000005882
CPT1A	NM_001031847,NM_001876	-0.0240443171	0.8829603657
GPR35	NM_001195381,NM_001195382,NM_005301	-0.6686260703	0.2621274154
GPR161	NM_001267609,NM_001267610,NM_001267611,NM_001267612,NM_001267613,NM_001267614,NM_153832	0.072034104	0.92331452
GALNT12	NM_024642	1.3319228879	0.00014163
ANGPTL1	NM_004673	0.0067503805	0.9922078556
VPS9D1-AS1	NR_036480	0.11272888	0.8549123844
NDUFAF3	NM_199069,NM_199070,NM_199073,NM_199074	0.9774131137	2.50473248957246E-006
CAPZB	NM_001206540,NM_001206541,NM_001282162,NM_004930	0.5772159452	0.0010689477
OASL	NM_001261825,NM_003733,NM_198213	-0.2440961623	0.6246479581
LOC100289495	NR_040022	-0.1720950285	0.7498189468
AFG3L1P	NR_003226,NR_003227,NR_003228	-0.9097975548	6.06810963682388E-007
SKI	NM_003036	0.8873867952	0.000053335
ULBP3	NM_024518	0.1996278881	0.7723124444
MKNK1-AS1	NR_038403	-0.4471947272	0.4818241665
DNM1P41	NR_033787	0.0155417382	0.974595183
ANKZF1	NM_001042410,NM_001282792,NM_018089	-1.1463638227	2.04455331226185E-015
DIO1	NM_000792,NM_001039715,NM_001039716,NM_213593	0.1768779739	0.7904834807
CS	NM_004077	1.0703666552	3.5965750180773E-006
ERAL1	NM_005702	0.4366930551	0.0277251811
LINC00960	NR_040004,NR_040005	0.8407469117	0.06266353
COL4A3	NM_000091	0.1074188227	0.8841098025
LOC728819	NM_001101330	-0.5224901671	0.3668590142
AREL1	NM_001039479	-0.1142211823	0.5477820128
KIAA1841	NM_001129993,NM_032506	-0.0585853279	0.8849367398
PCDHGB7	NM_018927,NM_032101	-0.3306455908	0.4198308964
KPNA4	NM_002268	0.1203578666	0.3897542484
B4GALT7	NM_007255	-0.3571090749	0.0794202885
FKBP9	NM_001284341,NM_001284343,NM_007270	0.2957322737	0.0446090386
LRBA	NM_001199282,NM_006726	-0.2909797199	0.0294958741
ZNF568	NM_001204835,NM_001204836,NM_001204837,NM_001204838,NM_001204839,NM_198539	0.3506241601	0.4156836648
UBR7	NM_175748,NR_038150	0.5347327404	6.1384762565654E-006
FTSJ2	NM_013393	-0.0313576183	0.8843621056
CCNT2-AS1	NR_036549	0.6327404485	0.1941658514
C11orf30	NM_001300942,NM_001300943,NM_001300944,NM_020193	0.4705181725	0.0128373113
ZDHHC5	NM_015457	-0.179003373	0.242781794
NOC2L	NM_015658	0.4091005546	0.0589886677
PDCD7	NM_005707	-0.0567589735	0.7882046481
GPC6	NM_005708	-0.2076536092	0.3078953842
KLK12	NM_019598,NM_145894,NM_145895	0.1725450955	0.7929219219
RRS1-AS1	NR_040434	0.0892776086	0.9044883519
DDX11-AS1	NR_038927	1.5640425045	0.0022164021
RPS14	NM_001025070,NM_001025071,NM_005617	0.4121578716	0.0003162937
PAGR1	NM_024516	0.1147811169	0.5356168919
CYB5A	NM_001190807,NM_001914,NM_148923	0.1385350494	0.5814568348
ZNF541	NM_001277075	0.6843066731	0.2494230092
CRHR1-IT1	NR_026905,NR_026906	-0.4846005936	0.3385084724
CYP2W1	NM_017781	0.0323264815	NA
PNPO	NM_018129	0.652841109	0.0006324316
SPINK4	NM_014471	0.2639940245	NA
ENHO	NM_198573	0.2298978474	NA
SACM1L	NM_014016	0.0599752933	0.7951014845
ATP6V0D1	NM_004691	0.3348192547	0.0204646523
RAPGEF5	NM_012294	0.4992809395	0.0921319333
P2RY1	NM_002563	0.2197052467	NA
WWTR1	NM_001168278,NM_001168280,NM_015472	0.4166791971	0.0649947867
NFX1	NM_002504,NM_147133,NM_147134	0.4637456884	0.004453853
GNB5	NM_006578,NM_016194	0.3050493962	0.2111780279
AIM1L	NM_001039775	-0.0719649696	0.9216939837
LOC148413	NR_015434	-0.0750673602	0.7947294522
UCN	NM_003353	-0.6370747578	NA
ANK3	NM_001149,NM_001204403,NM_001204404,NM_020987	-0.3437145078	0.0086444039
TUBGCP3	NM_001286277,NM_001286278,NM_001286279,NM_006322	0.2701986639	0.2002795455
ZFYVE26	NM_015346	0.0942951378	0.5519217678
CHD2	NM_001042572,NM_001271	-0.3319529552	0.0266639516
PKHD1L1	NM_177531	1.0117271755	0.0711999463
ANP32A	NM_006305	0.3673923174	0.019044549
YAF2	NM_001190977,NM_001190979,NM_001190980,NM_005748,NR_034000	-0.6423407132	0.0012718726
DSC1	NM_004948,NM_024421	-0.0441748755	NA
ZFC3H1	NM_144982	-0.3252324792	0.0620358785
ASAP3	NM_001143778,NM_017707	-0.0907811335	0.7719614969
SNRNP35	NM_022717,NM_180699,NR_104103	-0.2799195189	0.2536639534
ACTL6A	NM_004301,NM_177989,NM_178042	0.520992205	0.0002305712
PLAA	NM_001031689	0.0728358351	0.7307599563
NRXN3	NM_001105250,NM_001272020,NM_004796,NM_138970,NR_073546,NR_073547	-0.7630046334	0.1223439782
MT1X	NM_005952	0.5537704465	0.1684521071
GGACT	NM_001195087,NM_033110	-0.2758352052	0.5482785675
MRPL13	NM_014078	-0.2743660102	0.1391339976
TANK	NM_001199135,NM_004180,NM_133484	-0.3941379729	0.1080029092
SEMA6C	NM_001178061,NM_001178062,NM_030913	-0.7303346767	0.1213997809
TANGO6	NM_024562	0.7314081033	0.0532681207
CLCN7	NM_001114331,NM_001287	-0.8264624177	1.80167481173188E-009
DYNLRB2	NM_130897	-0.2295746292	NA
SEC61G	NM_001012456,NM_014302	0.0025070843	0.990683555
ATP6V0D2	NM_152565	-1.130101267	0.0372707578
TGIF2-C20orf24	NM_001199535	-0.1627698336	0.6481196516
ZNF469	NM_001127464	0.6981383872	0.1497558642
PPM1G	NM_177983	0.1686020122	0.35298148
AATBC	NR_026961	-0.7754294218	0.1278602706
BRAT1	NM_152743	-0.6576783472	1.92125775343846E-006
LRRC27	NM_001143757,NM_001143758,NM_001143759,NM_030626,NR_026559	-0.552601237	0.094831145
NAALADL2	NM_207015	0.0237492907	0.9728209375
TUBA1B	NM_006082	1.9751669255	9.12860594304406E-030
RNF150	NM_020724	0.3674840476	0.1941129311
SPECC1	NM_001033553,NM_001033554,NM_001033555,NM_001243438,NM_001243439,NM_152904	0.17900292	0.1516648803
PRPF39	NM_017922	-2.0490502199	7.59449736197482E-067
UCHL3	NM_001270952,NM_006002	0.4569857664	0.0714803234
LOC401052	NM_001008737	1.0649027589	0.0292445826
SESN3	NM_001271594,NM_144665	0.5657229062	0.0040579437
ASMTL	NM_001173473,NM_001173473_chrY:1472031_1522655,NM_001173474,NM_001173474_chrY:1472031_1521870,NM_004192,NM_004192_chrY:1472031_1521870	0.7693845018	0.0002197173
DPP9-AS1	NM_001242901	0.0258915619	0.9731297428
DCTD	NM_001012732,NM_001921	-0.0352525992	0.8798329761
ZNF623	NM_001082480,NM_001261843,NM_014789	0.0182964654	0.923979659
SUSD2	NM_019601	1.0910423256	0.0006063825
SLC28A1	NM_001287761,NM_001287762,NM_004213,NM_201651	-0.6074542801	NA
FAM63B	NM_001040450,NM_001040453	-0.234842888	0.4590670534
THBS2	NM_003247	0.7608379149	NA
TMEM258	NM_014206	-0.0579373296	0.7892762715
FLJ23867	NR_026900	0.3303611502	0.117070747
SALL2	NM_001291446,NM_001291447,NM_005407,NR_111966,NR_111967	0.7366178426	0.1217912238
NDUFC2	NM_001204054,NM_001204055,NM_004549	-0.0628702259	0.689086011
ELFN1	NM_001128636	-0.1479879965	0.8088472783
VPS37A	NM_001145152,NM_152415	0.1798098505	0.4530302027
PODNL1	NM_001146254,NM_001146255,NM_024825	0.7909500558	0.0708691015
SPIRE1	NM_001128626,NM_001128627,NM_020148	-0.1315390107	0.5000759247
PREB	NM_013388	0.1248921287	0.49982843
REV3L	NM_001286431,NM_001286432,NM_002912	-0.0814173392	0.6304203051
ECD	NM_001135752,NM_001135753,NM_007265,NR_024203	0.1855400045	0.538578135
FAH	NM_000137	1.5010535568	2.7430719924593E-005
MAP1S	NM_018174	0.2878278337	0.3497455616
TBX4	NM_018488	-0.7245844487	0.1931276386
TRIM27	NM_006510	0.021942137	0.9105060153
NAT8	NM_003960	0.25877527	NA
